,"([14, [False, True, True, False, True, False], 8, 4, 79, 'Communication'], [0.40218106180709956, 0.19108385853440932, 0.11857953858566593, 0.20106289006644876, 0.02568880196138132, 0.061403849044995185])","([14, [True, False, True, False, True, False], 7, 5, 100, 'STEM'], [0.301285223008605, 0.13216661678956582, 0.09881689081057349, 0.20097330207437347, 0.1411382041237262, 0.12561976319315607])","([17, [True, False, False, True, True, False], 7, 2, 91, 'Fashion'], [0.2155986709974427, 0.163819826797813, 0.1622896087884433, 0.15414254877392122, 0.22490495670784347, 0.0792443879345363])","([24, [True, True, False, False, True, False], 6, 2, 0, 'Finance'], [0.18709518759980073, 0.13866772567134375, 0.1352978894863004, 0.19658739453712074, 0.21999918682884068, 0.12235261587659373])","([18, [True, False, False, True, True, False], 1, 2, 65, 'Education'], [0.26643865156992075, 0.07995603313049815, 0.2123050305557533, 0.13838053807587378, 0.2050223292768766, 0.09789741739107745])","([18, [False, False, True, True, True, False], 1, 5, 8, 'STEM'], [0.16854548415376167, 0.14022249573973652, 0.32405887462221233, 0.13754056750740662, 0.1762057408925498, 0.053426837084333066])","([12, [True, False, False, False, True, True], 3, 1, 31, 'Finance'], [0.2192084786936186, 0.12335430378264878, 0.0535692522509579, 0.056045793651109226, 0.3858518472112322, 0.16197032441043333])","([10, [False, False, True, False, True, True], 8, 2, 21, 'STEM'], [0.1058113756933569, 0.16015717867516258, 0.3331302718708457, 0.04078034236007203, 0.25592947977242325, 0.10419135162813942])","([14, [False, True, False, True, True, False], 8, 2, 96, 'Fashion'], [0.17280821451405193, 0.17045886679244168, 0.19295774032722468, 0.27012644859043244, 0.09820256799001748, 0.09544616178583183])","([12, [False, False, True, True, True, False], 4, 4, 91, 'Education'], [0.1665635962983683, 0.2605884251504636, 0.06792720345236986, 0.14605883620247684, 0.18016630097307892, 0.1786956379232425])"
Corps Ministry Assistant 41,-0.3439014902741012,-0.45125577767457425,-0.48832502080423296,-8.3498937386364,0.353799003600989,0.024742422210856742,-0.1505900426793575,-0.5222162537955412,-0.502424816057958,-0.6075405620453531
Y&C Resturant Crew Member 42,-0.35993431611281274,-0.25951224590300986,-0.1390821431288885,-13.289724518564316,1.9720420637473488,0.9690626116204201,-0.4258688209697874,-0.6456441015267567,-0.27637807840813733,-0.44276629298028114
Direct Support Professional Internship  43,-0.35012493557995267,-0.4393628345369921,-0.40264493964390763,-10.602901040978546,0.2907767307707513,0.6204846377375824,-0.4178593301706104,-0.5240106281437059,-0.47586150967994584,-0.19356269729518244
Britesmith Brewing Dishwasher 44,-0.47625230190724044,-0.44057634586143246,-0.41510811374318296,-16.267295480600392,0.589022034506375,-0.7371506158904417,-0.6322378408480813,-0.963905784162431,-0.49043878927931345,-0.5576235636712847
Doggy Day Camp Attendant 45,-0.19813350524682682,-0.3266583521651141,-0.49327703004899387,-15.097344901092285,0.34491215122844815,-0.2944511228792043,-0.8187918851379685,-0.899920971824747,-0.5406584922035358,-0.03503880950323803
Antler's Restaurant Dishwasher 46,-0.4804483666712867,-0.4496030653186709,-0.3830711216360684,-16.271429848897903,0.32222408436398803,-0.08934155431092763,-0.6065488744346456,-0.8995290094902708,-0.5316237207521923,-0.5459228489835659
Ridge Donut Cafe Overnight Donut Packer 47,-0.43409368841584917,-0.35800661605071116,-0.23159387842855111,-13.46069424686372,0.3058857178210218,0.27009667612780375,-0.5017944528240901,-0.7775900645310545,-0.4281876981114342,-0.531922040043393
Prep Cook/Dishwasher 48,-0.2658897014188195,-0.28580158684664425,-0.15535513972184412,-14.688605559538532,1.4285766278490706,1.1632051288874854,-0.5205247364958326,-0.6619011981069014,-0.2006328117919967,-0.32052987174391234
Kinglsey Cleaners  49,-0.38730469638796416,-0.36898400587663116,-0.29448732545615264,-15.951693215392607,1.3112713554896402,0.9438789285613846,-0.5145518050127539,-0.7388861373825475,-0.4052153291472893,-0.4682938993991738
Cleanstart Systems PT Office Cleaning 50,-0.43652657471923895,-0.39824246321407863,-0.2840482289558432,-15.954961763555445,1.1491359462701976,0.9516764925877,-0.5156147531111902,-0.7100943780857885,-0.45356615025798064,-0.47826825794566913
Helping Hand Weekend Cleaner 51,-0.4447169380473432,-0.4189343679438301,-0.3693922485258732,-15.996713505465694,1.1329809672481468,0.12060017313516433,-0.5876591340632563,-0.8564653917846223,-0.418465524600177,-0.5272590477602819
Bayard Baker Part-Time Cashier 52,-0.35132084306205236,-0.42250917946408517,-0.30385442750893127,-11.927277728087208,0.9940740827880538,0.7485329756317621,-0.3957897010321514,-0.4820816249582766,-0.29399830069627314,-0.37887131750040465
Plumber's Helper 53,-0.23197064601906106,-0.3127297566675949,-0.3220908568638696,-16.857400878860503,0.3942135635662148,-0.3112572090537523,-0.7179960171011428,-0.8767957519119056,-0.4467114417298379,-0.41302809478659824
Taco Bell Team Member 54,-0.3861066881877516,-0.325648570478168,-0.2710683820810498,-13.454941964655108,0.6631024378611184,-0.4109161652484069,-0.5156768599932029,-0.8656755857683444,-0.3519129662318527,-0.528310450113318
Dishwasher at Hillsdale House 55,-0.5663727631238977,-0.4923417141108507,-0.39284350379891436,-16.232720058240833,0.4346377015182031,-0.8657184791947449,-0.6483572161607318,-0.9364261378036418,-0.5817392227527034,-0.5788470479490649
Luca Trattoria & Pizzeria Counter Help 56,-0.45454723061184954,-0.36445181739551735,-0.20157917764168715,-13.421538634909481,0.7788044425409529,0.8400478797627459,-0.49283975344390896,-0.7007927172218202,-0.3965438195370637,-0.5173331116864266
McDonald's Crew Member 57,-0.4263301269672701,-0.32637576983674066,-0.24332256561055038,-13.400702745474835,0.8560883304297765,-0.5458185259336678,-0.5043736027709725,-0.8360755705395672,-0.39630920881795545,-0.5191944589981909
Dairy Queen Crew Members 58,-0.4005359382329935,-0.31489826736910254,-0.20416184310219204,-13.399987083612396,0.617461315226152,-0.398203686406434,-0.4744337225362546,-0.7905216317784309,-0.4045413468582553,-0.5045170198396284
Subway Shift Leader 59,-0.37513755640967855,-0.38168448052228654,-0.3571536130295613,-13.079703147977337,0.6630406288425195,-0.48791775437441665,-0.48616241771414004,-0.7681525202837551,-0.33822125114132545,-0.5287603229643825
Counter Person at Katrinka's INC 60,-0.42377799294353535,-0.4924463586973965,-0.4433944844488911,-8.345765117459665,0.09902140342002892,0.6975011113570967,-0.14183113292930358,-0.4202187920717235,-0.5885263561919004,-0.6130646835921848
NSinc Front Desk Sports Member 61,-0.41807037637782984,-0.5017195227850224,-0.5106658244808675,-8.36209778098415,0.36381212276113634,0.11334967818391226,-0.1890516256710325,-0.5319681667557553,-0.5351277801939045,-0.6355561423344092
Valet Parking Attendant 62,-0.3499595694637605,-0.37676461115586224,-0.33368927854485264,-9.978915117995491,0.5082317552374992,0.4306050834927403,-0.25407546165317507,-0.5051650566801811,-0.37880126618392296,-0.5148547724688519
Gym Front Deskt Member Rep 63,-0.3631654109479586,-0.452212762805552,-0.41498657588353444,-8.28847645219388,0.9550803377815852,1.6177327610898327,-0.11336469049003614,-0.35841349764912334,-0.4667931142193892,-0.570495212974681
Hair Stylist 64,-0.13741922758490585,-0.2705640593510196,-0.23312305611264078,-14.058839033705368,0.341474661286399,0.4975253947852375,-0.5912659806316121,-0.6801278904367253,-0.2932248796791234,-0.1721882897418084
Elementary After School Tutor 65,-0.7106266150523202,-0.6842244904859974,-0.45254491796988977,-10.580039740571644,1.285294807219728,1.717200435217155,-0.5959035891996121,-0.47756941375208095,-0.5377115640375928,-0.3097439459111023
Infant Teacher 66,-0.27334039672341554,-0.36315038072621914,-0.3533757081122361,-12.914387918100667,0.7981876900771985,-0.4725822311047766,-0.5881416379617984,-0.7576001015943887,-0.24860978362228575,-0.26277884020907305
Bagger - African Heritage Food 67,-0.318737084307316,-0.39934218456278725,-0.31836995118638806,-8.129773218342052,1.6082252603521214,1.4345783749940493,-0.16445618172873722,-0.23521562359935608,-0.24441709337001416,-0.3876695645608577
Mathnasium Instructor 68,-0.2354255281369597,-0.20634456684876282,-0.6141328060306146,-3.593776537792598,0.6918229302570059,1.1675550385007278,-0.5274891234999495,-0.24371606506137425,-0.6811023483000492,-0.4282889540711775
Seasonal Picker 69,-0.35081252427713744,-0.24434638362938554,-0.1349237970291396,-16.63078204205183,1.3874595922444888,-0.11166776899917177,-0.6265162071633147,-0.9074407874395921,-0.3078526442125347,-0.4328459267877121
Hip Hop Majorette Assistant Teacher 70,-0.6260321536799348,-0.5164096105429604,-0.41061662052940434,-19.8044032421777,0.8782359401771689,0.37033248500318294,-1.1451023292157856,-1.0636855668596037,-0.6148001942536722,-0.25303817297325426
Retail Sales Associate 71,-0.36288590573475576,-0.42869301201183696,-0.361964457926958,-11.26470834241361,0.7133278682485273,-0.3767359896463107,-0.39907938203146887,-0.5709637011099135,-0.34119394005627895,-0.42623905792641714
